domain,cname,ip,asn,prefix,first_seen
p19-novel-sign-sg.fizzopic.org,bytedance.map.fastly.net,199.232.114.73,AS54113,199.232.112.0/22,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,103.124.139.72,AS138089,103.124.139.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,103.124.139.74,AS138089,103.124.139.0/24,2026-08-25 07:41:18
v19-ml.melolostatic.com,0rtt-ipv4.video.bytedance.map.fastly.net,140.248.130.13,AS54113,140.248.128.0/22,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,23.221.50.105,AS20940,23.221.50.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,23.221.50.106,AS20940,23.221.50.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,23.221.50.107,AS20940,23.221.50.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,23.221.50.112,AS20940,23.221.50.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,23.221.50.113,AS20940,23.221.50.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,23.221.50.114,AS20940,23.221.50.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,23.221.50.115,AS20940,23.221.50.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,23.221.50.98,AS20940,23.221.50.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,23.221.50.99,AS20940,23.221.50.0/24,2026-08-25 07:41:18
p19-vodimg-default-sign.ibyteimg.com,bytedance.map.fastly.net,140.248.130.73,AS54113,140.248.128.0/22,2026-08-25 07:41:18
